DATE,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
19082022,CTE,EQ, 19-Aug-2022,75.65,75.0,81.0,75.0, 77.40,77.35,78.01,141758,110.58,2932,71862.0,50.69,56
19082022,CUB,EQ, 19-Aug-2022,178.85,178.8,185.7,174.9, 175.50,175.85,181.21,8542022,15479.36,42214,4238761.0,49.62,7681
19082022,CUBEXTUB,EQ, 19-Aug-2022,23.85,24.0,24.0,23.4, 23.55,23.6,23.65,31912,7.55,204,26358.0,82.6,6
19082022,CUMMINSIND,EQ, 19-Aug-2022,1247.05,1242.0,1260.25,1206.0, 1224.50,1224.4,1227.04,453180,5560.7,24563,130805.0,28.86,1605
19082022,CUPID,EQ, 19-Aug-2022,222.5,223.8,223.8,219.1, 220.50,220.45,220.97,29112,64.33,984,21239.0,72.96,46
19082022,CYBERMEDIA,EQ, 19-Aug-2022,17.1,17.1,17.1,16.25, 16.25,16.5,16.44,33388,5.49,194,21772.0,65.21,3
19082022,CYBERTECH,EQ, 19-Aug-2022,163.25,163.0,170.9,163.0, 164.60,164.35,167.29,129367,216.41,3153,58132.0,44.94,97
19082022,CYIENT,EQ, 19-Aug-2022,832.45,831.9,859.5,825.1, 844.50,847.85,847.39,404176,3424.95,23665,159669.0,39.5,1353
19082022,DAAWAT,EQ, 19-Aug-2022,94.1,94.85,96.15,91.05, 92.30,92.6,93.55,1932019,1807.45,10748,651555.0,33.72,609
19082022,DABUR,EQ, 19-Aug-2022,594.6,597.8,602.0,586.05, 587.00,587.2,595.02,2461951,14649.0,56945,1115056.0,45.29,6634
19082022,DALBHARAT,EQ, 19-Aug-2022,1666.9,1680.0,1706.05,1605.0, 1612.00,1616.1,1656.24,949279,15722.29,39908,300326.0,31.64,4974
19082022,DALMIASUG,EQ, 19-Aug-2022,343.05,343.1,348.5,339.0, 339.00,340.5,344.65,81170,279.75,4442,24704.0,30.43,85
19082022,DAMODARIND,EQ, 19-Aug-2022,51.8,51.75,55.85,51.05, 52.00,52.05,53.74,64359,34.59,858,24611.0,38.24,13
19082022,DANGEE,EQ, 19-Aug-2022,400.2,402.9,438.85,401.0, 428.00,434.0,425.28,74968,318.82,3717,34682.0,46.26,147
19082022,DATAMATICS,EQ, 19-Aug-2022,305.45,305.45,306.55,300.0, 301.80,301.25,302.52,75195,227.48,2825,38195.0,50.79,115
19082022,DATAPATTNS,EQ, 19-Aug-2022,866.45,865.95,885.0,855.25, 862.80,863.55,869.24,141986,1234.19,10680,71891.0,50.63,624
19082022,DBCORP,EQ, 19-Aug-2022,92.45,92.8,96.8,92.45, 95.40,95.6,95.26,493298,469.91,4316,277820.0,56.32,264
19082022,DBL,EQ, 19-Aug-2022,245.0,246.0,249.0,240.95, 241.20,242.65,244.74,324583,794.38,6550,110382.0,34.01,270
19082022,DBSTOCKBRO,EQ, 19-Aug-2022,20.5,21.45,22.0,20.0, 21.00,20.9,20.91,11104,2.32,120,4189.0,37.73,0
19082022,DCAL,EQ, 19-Aug-2022,121.55,122.25,124.15,118.4, 120.70,119.65,121.35,374104,453.98,5070,173376.0,46.34,210
19082022,DCBBANK,EQ, 19-Aug-2022,86.05,86.1,87.2,85.25, 86.50,85.95,86.05,847940,729.61,8540,433199.0,51.09,372
19082022,DCM,EQ, 19-Aug-2022,60.15,62.0,72.15,61.5, 72.15,72.15,69.06,2187532,1510.62,15048,478315.0,21.87,330
19082022,DCMFINSERV,EQ, 19-Aug-2022,3.35,3.4,3.65,3.35, 3.65,3.65,3.6,7263,0.26,48,6910.0,95.14,0
19082022,DCMNVL,EQ, 19-Aug-2022,197.45,200.0,214.7,200.0, 205.00,206.45,207.72,157176,326.48,5039,86910.0,55.29,180
19082022,DCMSHRIRAM,EQ, 19-Aug-2022,1032.8,1032.8,1056.2,1028.05, 1035.00,1033.6,1039.49,63688,662.03,4555,34966.0,54.9,363
19082022,DCMSRIND,EQ, 19-Aug-2022,78.0,78.85,78.85,76.2, 76.65,77.1,77.63,103836,80.61,2121,51750.0,49.84,40
19082022,DCW,EQ, 19-Aug-2022,47.25,49.0,49.85,47.05, 48.20,48.95,48.71,11064169,5389.3,29096,4379308.0,39.58,2133
19082022,DECCANCE,EQ, 19-Aug-2022,534.5,541.0,544.9,519.4, 530.00,525.05,529.94,16750,88.77,1746,8789.0,52.47,46
19082022,DEEPAKFERT,EQ, 19-Aug-2022,892.65,890.0,920.0,886.1, 904.40,902.65,904.93,462019,4180.93,23842,193609.0,41.9,1752
19082022,DEEPAKNTR,EQ, 19-Aug-2022,2104.25,2104.0,2122.9,2028.35, 2036.05,2041.25,2076.0,775656,16102.58,48443,236869.0,30.54,4917
